id,pmid,year,study_type,evidence_quality,n,coi,effect_size,title,authors,url,ingredients,research_reviews
pmid-41924221,41924221,2020,Case Report,low,,,"","The Effects of Calcium and Glutamine Co-supplementation on Body Composition","Antonio J, Street C",https://pubmed.ncbi.nlm.nih.gov/41924221/,,
pmid-30036891,30036891,2019,Meta-Analysis,high,,,"","The Efficacy of Saffron in the Treatment of Mild to Moderate Depression: A","Marx W et al.",https://pubmed.ncbi.nlm.nih.gov/30036891/,safran-preis-gesundheit,
pmid-30335591,30335591,2019,,low,,,"","Trehalose induces autophagy via lysosomal-mediated TFEB activation in models","Rusmini et al.",https://pubmed.ncbi.nlm.nih.gov/30335591/,,
pmid-30415628,30415628,2019,RCT,high,,,"","Cardiovascular Risk Reduction with Icosapentaenoic Acid for Hypertriglyceridemia","Bhatt DL et al.",https://pubmed.ncbi.nlm.nih.gov/30415628/,omega-3,
pmid-30415629,30415629,2019,RCT,high,,,"","Vitamin D Supplements and Prevention of Cancer and Cardiovascular Disease (VITAL)","Manson JE et al.",https://pubmed.ncbi.nlm.nih.gov/30415629/,vitamin-d3,
pmid-30415637,30415637,2019,,low,,,"","Marine n-3 Fatty Acids and Prevention of Cardiovascular Disease and Cancer","Manson JE et al.",https://pubmed.ncbi.nlm.nih.gov/30415637/,omega-3,
pmid-30616998,30616998,2019,,low,,,"","Senolytics in idiopathic pulmonary fibrosis: Results from a first-in-human,","Justice JN et al.",https://pubmed.ncbi.nlm.nih.gov/30616998/,fisetin; quercetin,
pmid-30788274,30788274,2019,RCT,high,,,"","Effects of L-citrulline supplementation on blood pressure: A systematic review","Barkhidarian et al.",https://pubmed.ncbi.nlm.nih.gov/30788274/,l-citrullin,
pmid-31174269,31174269,2019,Review,low,,,"","Molecular Mechanisms of Zinc as a Pro-Antioxidant Mediator: Clinical Therapeutic","Prasad et al.",https://pubmed.ncbi.nlm.nih.gov/31174269/,zink,
pmid-31263284,31263284,2019,RCT,high,,,"","Supplementation with Akkermansia muciniphila in overweight and obese human","Depommier C et al.",https://pubmed.ncbi.nlm.nih.gov/31263284/,akkermansia,
pmid-31316753,31316753,2019,,low,,,"","mTOR as a central regulator of lifespan and aging","Papadopoli D et al.",https://pubmed.ncbi.nlm.nih.gov/31316753/,rapamycin,
pmid-31728244,31728244,2019,,low,,,"","Efficacy and Safety of Ashwagandha Root Extract in Insomnia and Anxiety","Langade D et al.",https://pubmed.ncbi.nlm.nih.gov/31728244/,ashwagandha,
pmid-36287374,36287374,2019,,low,,,"","Vitamin D in the older population: a consensus statement","Bouillon R et al.",https://pubmed.ncbi.nlm.nih.gov/36287374/,vitamin-d3,
pmid-41096492,41096492,2019,,low,,,"","Impact of Chromium Picolinate on Breast Muscle Metabolomics and Glucose and","Vincent JB",https://pubmed.ncbi.nlm.nih.gov/41096492/,chrom,
pmid-20564545,20564545,2018,Review,low,,,"","Milk thistle in liver diseases: past, present, future","Abenavoli L et al.",https://pubmed.ncbi.nlm.nih.gov/20564545/,silymarin,
pmid-28853742,28853742,2018,,low,,,"","Oral supplementation with liposomal glutathione elevates body stores of glutathione","Sinha R et al.",https://pubmed.ncbi.nlm.nih.gov/28853742/,glutathion,
pmid-29376219,29376219,2018,,low,,,"","Selenium for preventing cancer","Vinceti et al.",https://pubmed.ncbi.nlm.nih.gov/29376219/,vitamin-e,
pmid-29599478,29599478,2018,Multicenter Study,high,,,"","Chronic nicotinamide riboside supplementation is well-tolerated and elevates","Martens et al.",https://pubmed.ncbi.nlm.nih.gov/29599478/,nr,
pmid-29738701,29738701,2018,Review,low,,,"","Flavones-bound in benzodiazepine site on GABA(A) receptor: Concomitant anxiolytic-like","Oliveira et al.",https://pubmed.ncbi.nlm.nih.gov/29738701/,apigenin,
pmid-29926979,29926979,2018,RCT,high,,,"","Lactobacillus reuteri reduces bone loss in older women with low bone mineral","Nilsson AG et al.",https://pubmed.ncbi.nlm.nih.gov/29926979/,l-reuteri-6475,
pmid-29955838,29955838,2018,,low,,,"","Higher spermidine intake is linked to lower mortality: a prospective population-based","Kiechl et al.",https://pubmed.ncbi.nlm.nih.gov/29955838/,spermidine,
pmid-30279143,30279143,2018,,low,,,"","Fisetin is a senotherapeutic that extends health and lifespan","Yousefzadeh MJ et al.",https://pubmed.ncbi.nlm.nih.gov/30279143/,fisetin,
pmid-30371340,30371340,2018,Observational Study,moderate,,,"","Effects of Coenzyme Q10 on Statin-Induced Myopathy: An Updated Meta-Analysis","Qu et al.",https://pubmed.ncbi.nlm.nih.gov/30371340/,coq10,
pmid-41957052,41957052,2018,RCT,high,41,,"","Effects of NAD⁺ repletion with Nicotinamide riboside on obesity-induced chronic","Dollerup OL et al.",https://pubmed.ncbi.nlm.nih.gov/41957052/,nr,
pmid-42459809,42459809,2018,,low,,,"","Vitamins as modulators of neonatal intestinal injury","Huang Z et al.",https://pubmed.ncbi.nlm.nih.gov/42459809/,vitamin-a,
pmid-24095831,24095831,2017,,low,,,"","Anti-hyperglycemic and hypolipidemic effects of Cistanche tubulosa in type","Wang T et al.",https://pubmed.ncbi.nlm.nih.gov/24095831/,cistanche,
pmid-24787454,24787454,2017,,low,,,"","Oxidative stress and respiratory system: pharmacological and clinical reappraisal","Mokhtari V et al.",https://pubmed.ncbi.nlm.nih.gov/24787454/,nac,
pmid-27328852,27328852,2017,Meta-Analysis,high,,,"","Creatine supplementation for muscle growth: a scoping review","Lanhers C et al.",https://pubmed.ncbi.nlm.nih.gov/27328852/,kreatin,
pmid-27492975,27492975,2017,,low,,,"","Effect of consumption of chicory inulin on bowel function in healthy subjects","Micka A et al.",https://pubmed.ncbi.nlm.nih.gov/27492975/,inulin,
pmid-28202713,28202713,2017,Meta-Analysis,high,,,"","Vitamin D supplementation to prevent acute respiratory tract infections","Martineau AR et al.",https://pubmed.ncbi.nlm.nih.gov/28202713/,vitamin-d3,
pmid-28300758,28300758,2017,Comparative Study,moderate,,,"","Methylsulfonylmethane: Applications and Safety of a Novel Dietary Supplement","Butawan et al.",https://pubmed.ncbi.nlm.nih.gov/28300758/,msm,
pmid-28344465,28344465,2017,,low,,,"","The Pharmacological Potential of Rutin","Ganeshpurkar A et al.",https://pubmed.ncbi.nlm.nih.gov/28344465/,rutin,
pmid-28471731,28471731,2017,RCT,high,50,,"","Efficacy and Safety of Ashwagandha Root Extract in Improving Memory and Cognitive","Choudhary D et al.",https://pubmed.ncbi.nlm.nih.gov/28471731/,ashwagandha,
pmid-28611480,28611480,2017,,low,,,"","Expert consensus document: The International Scientific Association for Probiotics","Gibson et al.",https://pubmed.ncbi.nlm.nih.gov/28611480/,probiotika,
pmid-28615996,28615996,2017,Review,low,,,"","International Society of Sports Nutrition position stand: safety and efficacy","Kreider RB et al.",https://pubmed.ncbi.nlm.nih.gov/28615996/,kreatin,
pmid-28660890,28660890,2017,Review,low,,,"","Vitamin B12 deficiency","Green R et al.",https://pubmed.ncbi.nlm.nih.gov/28660890/,vitamin-b12,
pmid-28662290,28662290,2017,Review,low,,,"","Resveratrol and pterostilbene as a microRNA-mediated chemopreventive and therapeutic","Kumar et al.",https://pubmed.ncbi.nlm.nih.gov/28662290/,pterostilben,
pmid-28878245,28878245,2017,,low,,,"","Effects of Centella asiatica (L.) Urb. on cognitive function and mood related","Puttarak P et al.",https://pubmed.ncbi.nlm.nih.gov/28878245/,gotu-kola,
pmid-28879195,28879195,2017,Review,low,,,"","A review of the use of biotin for hair loss","Patel DP et al.",https://pubmed.ncbi.nlm.nih.gov/28879195/,vitamin-b7,
pmid-29065496,29065496,2017,Review,low,,,"","Curcumin: A Review of Its Effects on Human Health","Hewlings SJ & Kalman DS",https://pubmed.ncbi.nlm.nih.gov/29065496/,curcumin,
pmid-29099763,29099763,2017,Review,low,,,"","Vitamin C and immune function","Carr AC & Maggini S",https://pubmed.ncbi.nlm.nih.gov/29099763/,vitamin-c,
pmid-29344421,29344421,2017,,low,,,"","Anti-Aging Implications of Astragalus Membranaceus (Huangqi): A Well-Known","Liu et al.",https://pubmed.ncbi.nlm.nih.gov/29344421/,astragalus,
pmid-34107512,34107512,2017,,low,,,"","Efficacy of Creatine Supplementation and Resistance Training on Area and Density","Chilibeck PD et al.",https://pubmed.ncbi.nlm.nih.gov/34107512/,kreatin,
pmid-36085529,36085529,2017,Twin Study,moderate,,,"","The evaluation of fecal microbiota transplantation vs vancomycin in a Clostridioides","Plovier H et al.",https://pubmed.ncbi.nlm.nih.gov/36085529/,akkermansia,
pmid-38873567,38873567,2017,,low,,,"","Beet supplementation mitigates post-exercise inflammation","Hirsch KR et al.",https://pubmed.ncbi.nlm.nih.gov/38873567/,cordyceps,
pmid-40553215,40553215,2017,,low,,,"","Calorie restriction mimetics against aging and inflammation","Baur JA & Sinclair DA",https://pubmed.ncbi.nlm.nih.gov/40553215/,resveratrol,
pmid-42423994,42423994,2017,,low,,,"","Effects of Potassium Citrate Supplementation on Bone Turnover Markers in Postmenopausal","Tai V et al.",https://pubmed.ncbi.nlm.nih.gov/42423994/,calcium,
pmid-25988120,25988120,2016,,low,,,"","Hydroxytyrosol and potential uses in cardiovascular diseases, cancer, and AIDS","Fabiani R et al.",https://pubmed.ncbi.nlm.nih.gov/25988120/,hydroxytyrosol,
pmid-26100928,26100928,2016,Clinical Trial,moderate,,,"","Akkermansia muciniphila and improved metabolic health during caloric restriction","Dao MC et al.",https://pubmed.ncbi.nlm.nih.gov/26100928/,akkermansia,
pmid-26395129,26395129,2016,RCT,high,,,"","Clinical evaluation of purified shilajit","Pandit S et al.",https://pubmed.ncbi.nlm.nih.gov/26395129/,shilajit,
pmid-26781281,26781281,2016,RCT,high,,,"","Taurine supplementation lowers blood pressure and improves vascular function","Sun Q et al.",https://pubmed.ncbi.nlm.nih.gov/26781281/,taurin,
pmid-26916911,26916911,2016,,low,,,"","Astragalus membranaceus: A Review of its Protection Against Inflammation and","Auyeung KK et al.",https://pubmed.ncbi.nlm.nih.gov/26916911/,astragalus,
pmid-26970090,26970090,2016,,low,,,"","Nicotinamide mononucleotide supplementation reverses vascular dysfunction and","de et al.",https://pubmed.ncbi.nlm.nih.gov/26970090/,nmn,
pmid-27100509,27100509,2016,,low,,,"","The neurobiology of acetyl-L-carnitine","Traina et al.",https://pubmed.ncbi.nlm.nih.gov/27100509/,acetyl-l-carnitin,
pmid-27400265,27400265,2016,,low,,,"","Urolithin A induces mitophagy and prolongs lifespan in C. elegans and increases","Ryu D et al.",https://pubmed.ncbi.nlm.nih.gov/27400265/,urolithin-a,
pmid-27402922,27402922,2016,Meta-Analysis,high,,,"","Effects of Magnesium Supplementation on Blood Pressure: A Meta-Analysis of","Zhang X et al.",https://pubmed.ncbi.nlm.nih.gov/27402922/,magnesium,
pmid-27533649,27533649,2016,Review,low,,,"","Efficacy of Turmeric Extracts and Curcumin for Alleviating the Symptoms of","Daily et al.",https://pubmed.ncbi.nlm.nih.gov/27533649/,curcumin,
pmid-27721479,27721479,2016,,low,,,"","Nicotinamide riboside is uniquely and orally bioavailable in mice and humans","Trammell SA et al.",https://pubmed.ncbi.nlm.nih.gov/27721479/,nr,
pmid-28068222,28068222,2016,,low,,,"","Long-Term Administration of Nicotinamide Mononucleotide Mitigates Age-Associated","Mills KF et al.",https://pubmed.ncbi.nlm.nih.gov/28068222/,nmn,
pmid-34586711,34586711,2016,Review,low,,,"","Effect of curcuminoids on inflammatory biomarkers: meta-analysis of RCTs","Sahebkar A et al.",https://pubmed.ncbi.nlm.nih.gov/34586711/,curcumin,
pmid-34958481,34958481,2016,,low,,,"","Spermidine supplementation influences mitochondrial number and morphology in","Eisenberg T et al.",https://pubmed.ncbi.nlm.nih.gov/34958481/,spermidine,
pmid-42421135,42421135,2016,,low,,,"","Effects of combined low-dose caffeine and taurine on anaerobic, neuromuscular,","McLellan TM et al.",https://pubmed.ncbi.nlm.nih.gov/42421135/,koffein,
pmid-42471257,42471257,2016,,low,,,"","No beneficial effect of resveratrol supplementation on plasma apolipoprotein","Sahebkar A et al.",https://pubmed.ncbi.nlm.nih.gov/42471257/,resveratrol,
study-cholin-efsa-ai-2016,,2016,,,,,"","Dietary Reference Values for choline – EFSA NDA Panel","EFSA NDA Panel",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2016.4484,,
pmid-24791752,24791752,2015,,low,,,"","Randomized controlled trial of oral glutathione supplementation on body stores","Richie et al.",https://pubmed.ncbi.nlm.nih.gov/24791752/,glutathion,
pmid-25686270,25686270,2015,Systematic Review,high,,,"","Ganoderma lucidum mushroom for the treatment of cardiovascular risk factors","Klupp NL et al.",https://pubmed.ncbi.nlm.nih.gov/25686270/,reishi,
pmid-25761837,25761837,2015,RCT,high,,,"","A double-blind, placebo-controlled study evaluating caffeine and L-theanine","Dodd FL et al.",https://pubmed.ncbi.nlm.nih.gov/25761837/,l-theanin,
pmid-25780308,25780308,2015,,low,,,"","Effectiveness of probiotics in irritable bowel syndrome: Updated systematic","Didari et al.",https://pubmed.ncbi.nlm.nih.gov/25780308/,probiotika,
pmid-25933483,25933483,2015,Review,low,,,"","Phosphatidylserine and the human brain","Glade MJ & Smith K",https://pubmed.ncbi.nlm.nih.gov/25933483/,phosphatidylserin,
pmid-26135835,26135835,2015,Meta-Analysis,high,,,"","Loss of Bone and Wnt10b Expression in Male Type 1 Diabetic Mice Is Blocked","Zhang J et al.",https://pubmed.ncbi.nlm.nih.gov/26135835/,,
pmid-26420590,26420590,2015,,low,,,"","Acute effects of calcium supplements on blood pressure and blood coagulation:","Bristow SM et al.",https://pubmed.ncbi.nlm.nih.gov/26420590/,calcium,
pmid-26500584,26500584,2015,Clinical Trial,moderate,13,,"","Neurotransmitters as food supplements: the effects of GABA on brain and behavior","Boonstra et al.",https://pubmed.ncbi.nlm.nih.gov/26500584/,gaba,
pmid-26609282,26609282,2015,RCT,high,29,,"","Examining the effect of Withania somnifera supplementation on muscle strength","Wankhede S et al.",https://pubmed.ncbi.nlm.nih.gov/26609282/,ashwagandha,
pmid-28756183,28756183,2015,Review,low,,,"","Vitamin K2 supplementation and arterial stiffness among renal transplant recipients-a","Knapen MHJ et al.",https://pubmed.ncbi.nlm.nih.gov/28756183/,vitamin-k2,
pmid-30451113,30451113,2015,,low,,,"","Tetramethoxyluteolin for the Treatment of Neurodegenerative Diseases","Theoharides TC et al.",https://pubmed.ncbi.nlm.nih.gov/30451113/,luteolin,
pmid-41701327,41701327,2015,,low,,,"","International Society of Sports Nutrition position stand: effects of dietary","Trexler ET et al.",https://pubmed.ncbi.nlm.nih.gov/41701327/,beta-alanin,
study-efsa-caffeine-2015,,2015,,,,,"","Scientific Opinion on the safety of caffeine – EFSA Panel on Dietetic Products","EFSA NDA Panel",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2015.4102,,
pmid-23389860,23389860,2014,Multicenter Study,high,,,"","Probiotic use decreases intestinal inflammation and increases bone density","Britton RA et al.",https://pubmed.ncbi.nlm.nih.gov/23389860/,l-reuteri-6475,
pmid-23949208,23949208,2014,RCT,high,57,,"","Oral supplementation of specific collagen peptides has beneficial effects","Proksch et al.",https://pubmed.ncbi.nlm.nih.gov/23949208/,kollagen,
pmid-24252493,24252493,2014,Case Report,low,,,"","Meta-analysis of randomized controlled trials on cognitive effects of Bacopa","Kongkeaw et al.",https://pubmed.ncbi.nlm.nih.gov/24252493/,bacopa,
pmid-24365359,24365359,2014,,low,,,"","Hydrosoluble vitamins","Chawla et al.",https://pubmed.ncbi.nlm.nih.gov/24365359/,vitamin-b6,
pmid-24388876,24388876,2014,,low,,,"","Micronutrient-gene interactions related to inflammatory/immune response and","Mocchegiani et al.",https://pubmed.ncbi.nlm.nih.gov/24388876/,zink,
pmid-25282031,25282031,2014,RCT,high,420,,"","Effect of Coenzyme Q10 on Morbidity and Mortality in Chronic Heart Failure","Mortensen SA et al.",https://pubmed.ncbi.nlm.nih.gov/25282031/,coq10,
pmid-25313065,25313065,2014,RCT,high,29,,"","Sulforaphane treatment of autism spectrum disorder (ASD): a randomized double-blind","Singh K et al.",https://pubmed.ncbi.nlm.nih.gov/25313065/,sulforaphan,
pmid-25540326,25540326,2014,RCT,high,,,"","mTOR inhibition improves immune function in the elderly","Mannick JB et al.",https://pubmed.ncbi.nlm.nih.gov/25540326/,rapamycin,
pmid-30748078,30748078,2014,,low,,,"","Lithium treatment for chronic traumatic encephalopathy: A proposal","Mauer S et al.",https://pubmed.ncbi.nlm.nih.gov/30748078/,lithium-orotat,
pmid-31321376,31321376,2014,,low,,,"","Lutein across the Lifespan: From Childhood Cognitive Performance to the Aging","Johnson EJ",https://pubmed.ncbi.nlm.nih.gov/31321376/,lutein-zeaxanthin,
pmid-42198398,42198398,2014,,low,,,"","Back to the Roots: Safety and Tolerability of Standardised Ashwagandha (Withania","Pratte MA et al.",https://pubmed.ncbi.nlm.nih.gov/42198398/,ashwagandha,
pmid-42371142,42371142,2014,,low,,,"","Associations of unsweetened and sweetened coffee and tea consumption with","Ding M et al.",https://pubmed.ncbi.nlm.nih.gov/42371142/,koffein,
pmid-22976217,22976217,2013,RCT,high,8,,"","Betaine supplementation enhances anabolic endocrine and Akt signaling in response","Apicella et al.",https://pubmed.ncbi.nlm.nih.gov/22976217/,betain,
pmid-23172919,23172919,2013,,low,,,"","Flavonoid apigenin is an inhibitor of the NAD+ ase CD38: implications for","Escande et al.",https://pubmed.ncbi.nlm.nih.gov/23172919/,apigenin,
pmid-23384445,23384445,2013,Review,low,,,"","Gut-brain axis: how the microbiome influences anxiety and depression","Foster JA & McVey Neufeld KA",https://pubmed.ncbi.nlm.nih.gov/23384445/,probiotika,
pmid-23440782,23440782,2013,Meta-Analysis,high,,,"","Vitamin C supplementation and common cold duration: meta-analysis","Hemilä H & Chalker E",https://pubmed.ncbi.nlm.nih.gov/23440782/,vitamin-c,
pmid-23525894,23525894,2013,RCT,high,244,,"","Three-year low-dose menaquinone-7 supplementation helps decrease bone loss","Knapen MHJ et al.",https://pubmed.ncbi.nlm.nih.gov/23525894/,vitamin-k2,
pmid-23644932,23644932,2013,RCT,high,4203,,"","AREDS2: Lutein + zeaxanthin for age-related macular degeneration","AREDS2 Research Group",https://pubmed.ncbi.nlm.nih.gov/23644932/,lutein-zeaxanthin,
pmid-23762049,23762049,2013,Review,low,,,"","Silicon: a review of its potential role in the prevention and treatment of","Price et al.",https://pubmed.ncbi.nlm.nih.gov/23762049/,silicium,
pmid-24278045,24278045,2013,Comparative Study,moderate,,,"","Centella asiatica in cosmetology","Bylka W et al.",https://pubmed.ncbi.nlm.nih.gov/24278045/,gotu-kola,
pmid-24299602,24299602,2013,Meta-Analysis,high,,,"","Saffron (Crocus sativus L.) and major depressive disorder: a meta-analysis","Hausenblas HA et al.",https://pubmed.ncbi.nlm.nih.gov/24299602/,safran-preis-gesundheit; safran,
pmid-24360282,24360282,2013,,low,,,"","Declining NAD+ induces a pseudohypoxic state disrupting nuclear-mitochondrial","Gomes AP et al.",https://pubmed.ncbi.nlm.nih.gov/24360282/,apigenin,
pmid-24490268,24490268,2013,Review,low,,,"","Enough is enough: Stop wasting money on vitamin and mineral supplements","Guallar et al.",https://pubmed.ncbi.nlm.nih.gov/24490268/,multivitamin,
pmid-31605025,31605025,2013,RCT,high,8,,"","Beneficial effects of Lactobacillus reuteri 6475 on bone density in male mice","McCabe LR et al.",https://pubmed.ncbi.nlm.nih.gov/31605025/,,
pmid-33574223,33574223,2013,,low,,,"","Effects of tryptophan depletion on anxiety, a systematic review","Young SN",https://pubmed.ncbi.nlm.nih.gov/33574223/,l-tryptophan,
pmid-36683513,36683513,2013,,low,,,"","Activity of Choline Alphoscerate on Adult-Onset Cognitive Dysfunctions: A","Traini E et al.",https://pubmed.ncbi.nlm.nih.gov/36683513/,alpha-gpc,
pmid-38257115,38257115,2013,,low,,,"","Association of Glutamine and Glutamate Metabolism with Mortality among Patients","Bollhalder L et al.",https://pubmed.ncbi.nlm.nih.gov/38257115/,,
pmid-39514262,39514262,2013,,low,,,"","Effects of chronic betaine supplementation on exercise performance: Systematic","Cholewa JM et al.",https://pubmed.ncbi.nlm.nih.gov/39514262/,betain,
pmid-40563319,40563319,2013,,low,,,"","Selenium and Coenzyme Q(10) Supplementation and Sex Differences in Cardiovascular","Alehagen U et al.",https://pubmed.ncbi.nlm.nih.gov/40563319/,coq10,
pmid-21671978,21671978,2012,Comparative Study,moderate,,,"","Standardised water-soluble extract of Eurycoma longifolia, Tongkat ali, as","Tambi MI et al.",https://pubmed.ncbi.nlm.nih.gov/21671978/,tongkat-ali,
pmid-22270875,22270875,2012,Meta-Analysis,high,360,,"","Beta-alanine supplementation and exercise performance","Hobson RM et al.",https://pubmed.ncbi.nlm.nih.gov/22270875/,beta-alanin,
pmid-22332098,22332098,2012,,low,,,"","Folate and DNA methylation: a review of molecular mechanisms and the evidence","Crider et al.",https://pubmed.ncbi.nlm.nih.gov/22332098/,folsaeure,
pmid-22381456,22381456,2012,Comparative Study,moderate,,,"","Selenium and human health","Rayman MP",https://pubmed.ncbi.nlm.nih.gov/22381456/,selen,
pmid-22407780,22407780,2012,RCT,high,,,"","A randomized, pilot study to assess the efficacy and safety of curcumin in","Chandran B & Goel A",https://pubmed.ncbi.nlm.nih.gov/22407780/,curcumin,
pmid-22516723,22516723,2012,Review,low,,,"","Vitamin K2 and Vascular Calcification: A Systematic Review","Dalmeijer GW et al.",https://pubmed.ncbi.nlm.nih.gov/22516723/,vitamin-d3-k2; vitamin-k1,
pmid-22529837,22529837,2012,,low,,,"","The effects of glycine on subjective daytime performance in partially sleep-restricted","Bannai M et al.",https://pubmed.ncbi.nlm.nih.gov/22529837/,glycin,
pmid-22570464,22570464,2012,Meta-Analysis,high,,,"","Probiotics for the prevention of antibiotic-associated diarrhea: meta-analysis","Hempel S et al.",https://pubmed.ncbi.nlm.nih.gov/22570464/,probiotika,
pmid-22762317,22762317,2012,Meta-Analysis,high,,,"","A pooled analysis of vitamin D dose requirements for fracture prevention","Bischoff-Ferrari HA et al.",https://pubmed.ncbi.nlm.nih.gov/22762317/,vitamin-d3,
pmid-23013531,23013531,2012,Case Report,low,,,"","Influence of methylsulfonylmethane on markers of exercise recovery and performance","Kalman DS et al.",https://pubmed.ncbi.nlm.nih.gov/23013531/,msm,
pmid-23118793,23118793,2012,,low,,,"","Berberine in the Treatment of Type 2 Diabetes Mellitus: A Systematic Review","Dong H et al.",https://pubmed.ncbi.nlm.nih.gov/23118793/,berberine,
pmid-23170060,23170060,2012,,low,,,"","Review: taurine: a ""very essential"" amino acid","Ripps et al.",https://pubmed.ncbi.nlm.nih.gov/23170060/,taurin,
pmid-23176389,23176389,2012,,low,,,"","The thyroid gland and the process of aging; what is new?","Gesing A",https://pubmed.ncbi.nlm.nih.gov/23176389/,jod,
pmid-23439798,23439798,2012,,low,,,"","A prospective, randomized double-blind, placebo-controlled study of safety","Chandrasekhar K et al.",https://pubmed.ncbi.nlm.nih.gov/23439798/,ashwagandha,
pmid-23804546,23804546,2012,RCT,high,22,,"","Antiobesity effect of Gynostemma pentaphyllum extract (actiponin): a randomized,","Müller C et al.",https://pubmed.ncbi.nlm.nih.gov/23804546/,gynostemma,
pmid-23853635,23853635,2012,,low,,,"","The effect of magnesium supplementation on primary insomnia in elderly","Abbasi B et al.",https://pubmed.ncbi.nlm.nih.gov/23853635/,magnesium,
pmid-26179181,26179181,2012,,low,,,"","The Effect of Citicoline Supplementation on Motor Speed and Attention in Adolescent","McGlade E et al.",https://pubmed.ncbi.nlm.nih.gov/26179181/,cdp-cholin,
pmid-26226960,26226960,2012,,low,,,"","Effects of Pyrroloquinoline Quinone Disodium Salt Intake on the Serum Cholesterol","Nakano M et al.",https://pubmed.ncbi.nlm.nih.gov/26226960/,pqq,
pmid-41641880,41641880,2012,,low,,,"","Ginkgo biloba for cognitive impairment and dementia","Laws KR et al.",https://pubmed.ncbi.nlm.nih.gov/41641880/,ginkgo,
pmid-21195829,21195829,2011,Clinical Trial,moderate,24,,"","Oral L-citrulline supplementation improves erection hardness in men with mild","Cormio L et al.",https://pubmed.ncbi.nlm.nih.gov/21195829/,l-citrullin,
pmid-21261636,21261636,2011,Review,low,,,"","Bioavailability of resveratrol","Walle et al.",https://pubmed.ncbi.nlm.nih.gov/21261636/,resveratrol,
pmid-21414230,21414230,2011,,low,,,"","Effect of betaine supplementation on plasma nitrate/nitrite in exercise-trained","Trepanowski JF et al.",https://pubmed.ncbi.nlm.nih.gov/21414230/,betain,
pmid-21505219,21505219,2011,,low,,,"","Calcium supplements with or without vitamin D and risk of cardiovascular events:","Bolland et al.",https://pubmed.ncbi.nlm.nih.gov/21505219/,calcium,
pmid-21715508,21715508,2011,Meta-Analysis,high,,,"","Green tea catechins reduce total and LDL cholesterol: a systematic review","Zheng XX et al.",https://pubmed.ncbi.nlm.nih.gov/21715508/,egcg,
pmid-21747945,21747945,2011,Case Report,low,,,"","Plasma lipids and betaine are related in an acute coronary syndrome cohort","Lever M et al.",https://pubmed.ncbi.nlm.nih.gov/21747945/,tmg,
pmid-22071706,22071706,2011,,low,,,"","The relation of dietary choline to cognitive performance and white-matter hyperintensity","Poly et al.",https://pubmed.ncbi.nlm.nih.gov/22071706/,cholin,
pmid-22214254,22214254,2011,RCT,high,,,"","Effects of L-theanine on objective sleep quality in boys with ADHD","Higashiyama A et al.",https://pubmed.ncbi.nlm.nih.gov/22214254/,l-theanin,
pmid-22349894,22349894,2011,Comparative Study,moderate,,,"","Astaxanthin in cardiovascular health and disease","Fassett RG & Coombes JS",https://pubmed.ncbi.nlm.nih.gov/22349894/,astaxanthin,
study-hydroxytyrosol-efsa-2011,,2011,,,,,"","Scientific Opinion on the substantiation of health claims related to polyphenols in olive","EFSA Panel on Dietetic Products, Nutrition and Allergies",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2011.2033,,
pmid-20152124,20152124,2010,Comparative Study,moderate,,,"","Enhancement of Learning and Memory by Elevating Brain Magnesium (Mg-L-Threonate)","Slutsky I et al.",https://pubmed.ncbi.nlm.nih.gov/20152124/,magnesium,
pmid-20386132,20386132,2010,RCT,high,,,"","Citrulline malate enhances athletic anaerobic performance","Pérez-Guisado J, Jakeman PM",https://pubmed.ncbi.nlm.nih.gov/20386132/,l-citrullin,
pmid-20398344,20398344,2010,,low,,,"","Role of carnitine in disease","Flanagan JL et al.",https://pubmed.ncbi.nlm.nih.gov/20398344/,l-carnitin,
pmid-20464765,20464765,2010,Meta-Analysis,high,,,"","Caffeine for the prevention of injuries and errors in shift workers","Ker K et al.",https://pubmed.ncbi.nlm.nih.gov/20464765/,koffein,
pmid-20523044,20523044,2010,RCT,high,157,,"","Soy-derived phosphatidylserine improves memory function of the elderly Japanese","Kato-Kataoka A et al.",https://pubmed.ncbi.nlm.nih.gov/20523044/,phosphatidylserin,
pmid-20838622,20838622,2010,RCT,high,271,,"","Homocysteine-Lowering by B Vitamins Slows the Rate of Accelerated Brain Atrophy","Smith AD et al.",https://pubmed.ncbi.nlm.nih.gov/20838622/,vitamin-b12,
pmid-40608959,40608959,2010,,low,,,"","Cordyceps","Chen S et al.",https://pubmed.ncbi.nlm.nih.gov/40608959/,cordyceps,
pmid-41505913,41505913,2010,RCT,high,30,,"","Jiangtang Tiaozhi formula improves obesity and insulin resistance by inhibiting","Zhang H et al.",https://pubmed.ncbi.nlm.nih.gov/41505913/,berberine,
pmid-19016404,19016404,2009,RCT,high,60,,"","A randomised, double-blind, placebo-controlled, parallel-group study of SHR-5","Olsson EM et al.",https://pubmed.ncbi.nlm.nih.gov/19016404/,rhodiola,
pmid-19160216,19160216,2009,Meta-Analysis,high,37,,"","Ginkgo biloba for cognitive impairment and dementia","Birks J et al.",https://pubmed.ncbi.nlm.nih.gov/19160216/,ginkgo,
