id,pmid,year,study_type,evidence_quality,n,coi,effect_size,title,authors,url,ingredients,research_reviews
pmid-8875519,8875519,1996,Comparative Study,moderate,,,"","Zinc supplementation and testosterone levels","Prasad AS et al.",https://pubmed.ncbi.nlm.nih.gov/8875519/,zink,
pmid-11386498,11386498,1995,,low,,,"","Double-blind, controlled, crossover trial of inositol versus fluvoxamine for","Benjamin J et al.",https://pubmed.ncbi.nlm.nih.gov/11386498/,myo-inositol,
pmid-7649494,7649494,1995,Review,low,,,"","Alpha lipoic acid as a biological antioxidant","Packer L et al.",https://pubmed.ncbi.nlm.nih.gov/7649494/,,
pmid-7794222,7794222,1995,RCT,high,,,"","The effects of tyrosine on cognitive performance during extended wakefulness","Neri DF et al.",https://pubmed.ncbi.nlm.nih.gov/7794222/,l-tyrosin,
pmid-1362956,1362956,1992,,low,,,"","The systemic availability of oral glutathione","Witschi A et al.",https://pubmed.ncbi.nlm.nih.gov/1362956/,glutathion,
pmid-1677062,1677062,1991,RCT,high,1817,,"","Prevention of neural tube defects: results of the Medical Research Council","MRC Vitamin Study Research Group",https://pubmed.ncbi.nlm.nih.gov/1677062/,folsaeure,
pmid-2080048,2080048,1990,Case Report,low,,,"","Is glutamine a conditionally essential amino acid?","Lacey et al.",https://pubmed.ncbi.nlm.nih.gov/2080048/,,
pmid-2681512,2681512,1989,,low,,,"","Nutritional iron requirements and food iron absorption","Bothwell et al.",https://pubmed.ncbi.nlm.nih.gov/2681512/,eisen,
pmid-2934746,2934746,1985,,low,,,"","Analgesic properties of enkephalinase inhibitors: animal and human studies","Ehrenpreis et al.",https://pubmed.ncbi.nlm.nih.gov/2934746/,,
pmid-3917507,3917507,1985,,low,,,"","Biochemical basis of enhanced drug bioavailability by piperine: evidence that","Atal CK et al.",https://pubmed.ncbi.nlm.nih.gov/3917507/,piperin,
pmid-6764927,6764927,1982,,low,,,"","Effects of L-tryptophan on sleepiness and on sleep","Hartmann E",https://pubmed.ncbi.nlm.nih.gov/6764927/,l-tryptophan,
pmid-387000,387000,1979,,low,,,"","DL-phenylalanine versus imipramine: a double-blind controlled study","Beckmann et al.",https://pubmed.ncbi.nlm.nih.gov/387000/,,
pmid-335027,335027,1977,Clinical Trial,moderate,12,,"","D-phenylalanine in depressed patients: an open study","Beckmann H et al.",https://pubmed.ncbi.nlm.nih.gov/335027/,,
pmid-4105646,4105646,1971,,low,,,"","Effects of 5-hydroxytryptophan on the sleep of normal human subjects","Wyatt et al.",https://pubmed.ncbi.nlm.nih.gov/4105646/,5-htp,
